epoch,stage,G_Total,G_GAN,G_L1,G_Perceptual,G_Gradient,D_Total,D_Real,D_Fake,GP_Loss,D_Grad_Norm,D_Real_Mean,D_Fake_Mean,D_Real_Std,D_Fake_Std,Batch_Count
0,Stage1-Basic,14.363979583090924,0.7621774273983976,13.60180213096294,0.0,0.0,327.1634853139837,0.0,0.0,32.63995084927437,15882.5651061796,-0.028687244817426308,-0.026823419069455182,0.8359947505783527,0.8385252581631883,188
1,Stage1-Basic,11.386087442966218,0.74603900028036,10.640048432857432,0.0,0.0,4.7675729821971125,0.0,0.0,0.4020614545356403,387.4786771852739,-0.0620615139722507,-0.06175894333802639,0.729491947496191,0.7326528677280914,188
2,Stage1-Basic,10.570926569877788,0.7366692388945437,9.834257349054864,0.0,0.0,1.228010432517275,0.0,0.0,0.049073589814608874,78.49788769551905,-0.06332835559039673,-0.06324312728928759,0.6598999687331788,0.6624248167301746,188
3,Stage1-Basic,10.08372455708524,0.7238889006858177,9.35983567542218,0.0,0.0,0.9368785835326986,0.0,0.0,0.021267949677186405,35.67223143470177,-0.05898699037572171,-0.05919536623231908,0.5553719406115248,0.5574577777309621,188
4,Stage1-Basic,9.864193956902687,0.7124321923611012,9.151761755030206,0.0,0.0,0.8887780413348624,0.0,0.0,0.017626253294788223,33.522526791211035,-0.0604801498393112,-0.06068651475250087,0.4450732696246594,0.4459289104697552,188
5,Stage1-Basic,9.585534638546882,0.7045292385081028,8.881005363261446,0.0,0.0,0.8376129596157277,0.0,0.0,0.013319315553514009,38.23311513936553,-0.058176478450285625,-0.05845829901939377,0.34778042422964217,0.34815746625053123,188
6,Stage1-Basic,9.43113527906702,0.6989079596514397,8.732227320366718,0.0,0.0,0.7926248267610022,0.0,0.0,0.009389822418055933,39.87701596291658,-0.044597207667662744,-0.0448253298118869,0.25554711767967714,0.2556838482776855,188
7,Stage1-Basic,9.39014169256738,0.6961283201866961,8.694013385062522,0.0,0.0,0.7630562265502646,0.0,0.0,0.006706827989856197,38.27313089159227,-0.017716701375320554,-0.017874513290812598,0.1940585974841676,0.1937062179947153,188
8,Stage1-Basic,9.139721274375916,0.6954377039949945,8.44428357672184,0.0,0.0,0.7456062749979344,0.0,0.0,0.005029486831459663,32.12348954024596,-0.006283693830482662,-0.006400468381508154,0.17170867783592103,0.17122129747208129,188
9,Stage1-Basic,9.10870706781428,0.6952095472432197,8.413497526594933,0.0,0.0,0.7393420100846189,0.0,0.0,0.004439342940733037,28.725832865353063,0.011881008141109364,0.011621296820676629,0.16117990341909388,0.16071636015747456,188
